hand,P1,B1,P2,B2,P3,B3,player_3rd,banker_3rd,xgb_prob,nn_prob,bet_made,unit_size,result,outcome,bankroll
1,9.0,4.0,9.0,1.0,0,0,1,1,0.4492,0.4939,Player,20,WIN,0,448.0
2,0.0,0.0,6.0,0.0,0,8,0,0,0.4881,0.5065,Banker,0,NO BET,0,448.0
3,0.0,0.0,7.0,2.0,6,7,0,0,0.4881,0.5068,Player,0,NO BET,0,448.0
4,4.0,0.0,2.0,8.0,0,7,1,1,0.4565,0.495,Banker,20,LOSS,0,428.0
5,0.0,9.0,7.0,1.0,0,8,1,0,0.7859,0.5419,Banker,20,WIN,2,448.0
6,0.0,0.0,0.0,8.0,0,3,0,0,0.4896,0.5051,Player,0,NO BET,0,448.0
7,0.0,2.0,3.0,0.0,1,0,1,1,0.4627,0.4997,Tie,20,NO BET,0,448.0
8,0.0,5.0,0.0,0.0,2,5,1,1,0.464,0.4991,Player,20,WIN,0,468.0
9,0.0,0.0,0.0,0.0,0,0,0,0,0.4846,0.4995,Banker,20,LOSS,0,448.0
10,0.0,0.0,7.0,8.0,5,0,1,0,0.7423,0.5402,Player,20,LOSS,2,428.0
11,2.0,8.0,8.0,5.0,6,5,1,1,0.4795,0.4988,Banker,20,LOSS,0,408.0
12,0.0,0.0,6.0,2.0,3,0,1,0,0.7062,0.5342,Player,20,LOSS,2,388.0
13,0.0,0.0,0.0,0.0,0,0,0,0,0.5114,0.4916,Banker,0,NO BET,2,388.0
14,2.0,6.0,5.0,6.0,4,0,1,1,0.4667,0.4968,Player,20,WIN,0,408.0
15,0.0,8.0,8.0,0.0,1,2,1,0,0.6699,0.5358,Player,20,LOSS,2,388.0
16,0.0,0.0,5.0,2.0,0,9,0,0,0.5121,0.4905,Player,0,NO BET,2,388.0
17,4.0,7.0,5.0,7.0,2,6,1,1,0.4703,0.4971,Banker,20,LOSS,0,368.0
18,0.0,3.0,3.0,5.0,9,1,1,0,0.6731,0.544,Player,20,LOSS,2,348.0
19,0.0,7.0,0.0,7.0,3,0,1,0,0.6731,0.5489,Player,20,LOSS,2,328.0
20,7.0,4.0,0.0,0.0,0,7,1,1,0.4703,0.4956,Banker,20,LOSS,0,308.0
21,7.0,5.0,7.0,3.0,0,3,1,1,0.4707,0.4933,Banker,20,LOSS,0,288.0
22,8.0,6.0,0.0,2.0,9,9,1,1,0.4703,0.4924,Player,20,WIN,0,308.0
23,0.0,0.0,8.0,0.0,0,4,0,0,0.5175,0.5138,Player,0,NO BET,2,308.0
24,0.0,0.0,4.0,4.0,5,9,0,0,0.518,0.5152,Player,0,NO BET,2,308.0
25,0.0,0.0,7.0,0.0,4,0,1,0,0.6748,0.5615,Player,20,LOSS,2,288.0
26,0.0,0.0,0.0,5.0,0,8,0,0,0.518,0.5175,Banker,0,NO BET,2,288.0
27,0.0,1.0,0.0,0.0,7,7,1,0,0.6682,0.5641,Player,20,LOSS,2,268.0
